loan_id,dob_ssn,zipcode,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,event_timestamp,created_timestamp,city,state,location_type,tax_returns_filed,population,total_wages,credit_card_due,mortgage_due,student_loan_due,vehicle_loan_due,hard_pulls,missed_payments_2y,missed_payments_1y,missed_payments_6m,bankruptcies
38626,19950212_6602,95543,46,20004,OTHER,20.0,PERSONAL,7200,14.74,0,2020-09-01 08:53:31.256000+00:00,2020-08-27 03:28:25.861000+00:00,WEBSTER CITY,NJ,PRIMARY,7506,508,200857870,2689,1079721,2289,25950,3,5,0,0,0
38104,19640124_8513,45317,42,72194,OWN,16.0,MEDICAL,10000,16.0,1,2020-09-04 03:34:39.978000+00:00,2020-09-05 09:51:42.013000+00:00,CERES,NE,PRIMARY,494,12877,26539004,3670,916554,39474,3889,8,0,2,0,0
37884,19570925_4069,69358,59,32878,RENT,12.0,MEDICAL,19600,10.25,0,2020-08-29 14:30:43.766000+00:00,2020-09-12 18:21:53.264000+00:00,FAIRLAND,WV,PRIMARY,9623,18078,9696906,9888,927164,5381,24399,4,3,0,0,0
37721,19851025_1753,24333,51,120996,RENT,9.0,EDUCATION,5000,18.78,0,2020-09-02 16:05:36.988000+00:00,2020-09-01 10:06:56.187000+00:00,HILLMAN,OH,PRIMARY,3158,584,5880424,69,143034,30248,18655,10,0,3,0,0
37828,19740428_2565,23234,41,98004,RENT,17.0,HOMEIMPROVEMENT,11600,12.92,0,2020-09-04 17:38:56.681000+00:00,2020-08-29 11:27:11.440000+00:00,ORANGEVILLE,ME,PRIMARY,10776,25911,665454380,330,359227,1929,2911,5,1,2,1,0
38073,19460220_8238,89137,64,37200,MORTGAGE,38.0,VENTURE,10800,9.25,1,2020-08-28 04:15:05.707000+00:00,2020-08-26 04:31:53.411000+00:00,COLUMBUS,IA,PRIMARY,12054,3335,12715756,7188,1272003,25515,9469,0,1,3,0,0
38351,19901005_3857,55769,39,98000,MORTGAGE,6.0,VENTURE,2000,14.84,0,2020-09-06 05:44:42.136000+00:00,2020-09-03 14:25:26.973000+00:00,FREELAND,UT,PRIMARY,1574,2108,1071975636,8275,1753699,32981,13685,3,0,0,0,0
37967,19800330_9431,55417,42,150750,RENT,14.0,PERSONAL,5500,11.49,0,2020-09-06 14:55:19.116000+00:00,2020-09-07 02:51:07.191000+00:00,COBB,HI,PRIMARY,9952,1974,12015874,1477,1842663,45924,26561,0,2,0,0,2
37872,19990507_6196,66113,39,155000,OWN,10.0,PERSONAL,2700,13.72,1,2020-08-29 07:28:35.415000+00:00,2020-09-05 14:08:39.270000+00:00,HARRISBURG,KS,PRIMARY,8529,3335,33123251,6288,1130098,5251,1213,1,2,0,0,0
37826,19660512_8610,93673,62,35000,OWN,2.0,PERSONAL,19200,7.68,0,2020-08-30 03:03:14.306000+00:00,2020-09-05 19:20:40.225000+00:00,SANFORD,OR,PRIMARY,12076,1684,7916479,4340,1209189,4791,295,0,1,1,0,2
37734,19650209_8777,99321,55,56000,RENT,28.0,PERSONAL,6500,16.0,0,2020-08-27 12:39:02.841000+00:00,2020-08-29 16:02:29.930000+00:00,FOSS,AL,PRIMARY,930,2314,833803163,5498,857142,30651,17756,0,1,3,0,2
37862,19861014_7704,60108,37,36700,MORTGAGE,17.0,MEDICAL,9975,13.8,0,2020-09-02 10:35:14.800000+00:00,2020-08-28 16:10:53.781000+00:00,ANAHEIM,GA,PRIMARY,3232,712,167125397,1139,1994975,12258,8615,9,0,3,0,0
38401,19900819_8555,51040,36,36000,MORTGAGE,15.0,VENTURE,1375,8.94,0,2020-08-30 18:39:17.172000+00:00,2020-08-31 15:45:42.226000+00:00,RIO MEDINA,MO,PRIMARY,3780,44783,187628071,48,955292,3035,17343,8,4,0,0,0
38367,19540104_5177,61263,39,6000,RENT,19.0,DEBTCONSOLIDATION,14525,20.62,0,2020-09-06 10:56:43.092000+00:00,2020-09-02 20:04:13.013000+00:00,PORT ORANGE,RI,PRIMARY,29217,470,1230358248,190,1677647,24504,8622,3,1,0,0,2
37851,19940125_6561,43360,84,81996,MORTGAGE,18.0,EDUCATION,19275,18.39,0,2020-09-02 22:49:24.107000+00:00,2020-09-05 21:47:30.087000+00:00,SOUTHAVEN,OH,PRIMARY,14011,7503,573609990,1139,697876,2353,26039,2,4,0,0,0
38044,19901016_8502,95124,45,106000,MORTGAGE,0.0,HOMEIMPROVEMENT,6600,6.54,0,2020-09-06 00:14:19.948000+00:00,2020-09-05 15:22:04.201000+00:00,LAS VEGAS,SD,PRIMARY,5062,612,499665866,3689,195752,32614,12595,8,1,2,1,0
38623,19600908_3976,45439,62,7200,MORTGAGE,20.0,VENTURE,2700,14.22,0,2020-09-11 10:14:43.833000+00:00,2020-08-28 10:22:10.361000+00:00,WEST PALM BEACH,UT,PRIMARY,348,59428,29322557,5596,1947428,27055,13491,9,7,0,0,0
38062,19770827_9862,74425,52,80004,RENT,31.0,HOMEIMPROVEMENT,5600,14.61,0,2020-08-30 08:51:57.727000+00:00,2020-09-05 15:40:25.433000+00:00,SAINT DAVID,MA,PRIMARY,587,577,812467775,9431,170261,44410,24372,5,0,0,0,1
37717,19680807_2217,12181,69,109000,RENT,27.0,MEDICAL,6000,14.61,0,2020-09-03 09:50:08.483000+00:00,2020-09-04 19:29:04.077000+00:00,OREGON,IL,PRIMARY,3158,4927,171024994,6874,1306046,8401,22279,7,5,0,0,0
38515,19781222_6675,76004,49,53550,RENT,11.0,HOMEIMPROVEMENT,12600,16.15,0,2020-08-27 19:22:49.960000+00:00,2020-08-27 04:23:29.559000+00:00,CAMERON,AL,PRIMARY,13592,3210,202588695,8186,1662738,48207,22854,0,1,0,1,0
37673,19931126_2514,94931,49,10636,RENT,1.0,PERSONAL,25000,13.35,0,2020-08-30 12:50:33.751000+00:00,2020-09-11 10:14:43.833000+00:00,UTICA,MT,PRIMARY,9483,1257,9442840,6221,1405578,7771,28128,7,1,0,0,0
37893,19930212_6651,56510,40,108800,OWN,22.0,VENTURE,20000,8.07,0,2020-09-04 06:56:33.538000+00:00,2020-08-29 12:03:53.905000+00:00,WEST FARMINGTON,NV,PRIMARY,14975,1477,49185626,7463,1272003,29288,2271,3,5,0,0,2
38011,19950312_9717,43812,63,9600,RENT,5.0,PERSONAL,11000,15.7,0,2020-09-02 23:44:27.805000+00:00,2020-08-31 11:28:44.969000+00:00,RICHMOND,NM,PRIMARY,948,1267,27749155,3146,214796,3673,3460,1,7,0,0,1
38259,19700630_8054,61345,40,77385,RENT,4.0,HOMEIMPROVEMENT,28000,13.16,0,2020-08-27 23:21:25.984000+00:00,2020-09-09 17:15:18.655000+00:00,MILLER,IN,PRIMARY,365,44030,55981106,4232,473264,34016,27343,4,0,0,1,0
38300,19560606_1287,80512,46,68480,MORTGAGE,9.0,PERSONAL,18000,11.89,0,2020-08-28 12:49:00.222000+00:00,2020-09-06 13:41:54.186000+00:00,SULLIVAN,MN,PRIMARY,1398,470,8021848,3654,196206,22085,6516,5,1,2,0,1
38474,19620928_6343,11559,40,132000,RENT,2.0,EDUCATION,15575,13.48,1,2020-08-29 21:51:13.350000+00:00,2020-09-04 07:33:16.003000+00:00,CARSON,UT,PRIMARY,593,10139,22673894,2067,1908099,32760,10,0,1,0,0,0
38559,19830206_7212,30733,51,37200,RENT,13.0,PERSONAL,1800,14.17,0,2020-08-28 19:32:47.341000+00:00,2020-08-30 12:32:12.519000+00:00,MOUNT PLEASANT,MN,PRIMARY,260,592,499665866,646,1688879,12492,27343,0,0,0,0,0
38402,19820523_2781,30823,48,113000,RENT,22.0,PERSONAL,9925,10.25,0,2020-09-07 02:14:24.725000+00:00,2020-09-04 05:43:08.607000+00:00,MORO,IL,PRIMARY,5709,445,50669251,483,628982,26229,11145,9,4,3,1,0
38018,19550130_7970,2043,57,79500,MORTGAGE,11.0,DEBTCONSOLIDATION,8800,14.59,0,2020-09-12 15:36:42.170000+00:00,2020-09-03 20:14:10.394000+00:00,VELMA,IA,PRIMARY,345,6561,15933006,3670,1163888,21726,22426,8,0,0,0,2
37225,19810524_2810,85022,51,214200,OTHER,10.0,VENTURE,6500,10.39,0,2020-08-27 16:19:17.633000+00:00,2020-08-27 19:04:28.727000+00:00,BEVERLY HILLS,WY,PRIMARY,319,24336,63783363,4799,839874,9850,2139,0,3,3,0,2
38384,19650730_7139,1904,38,261800,OWN,1.0,HOMEIMPROVEMENT,11375,8.07,0,2020-09-01 03:59:51.533000+00:00,2020-08-27 02:51:43.395000+00:00,SPRING CREEK,WA,PRIMARY,1738,3716,11169831,1542,1094075,31368,14218,6,7,0,1,2
38555,19690201_1879,74425,58,381450,MORTGAGE,21.0,VENTURE,4375,7.4,0,2020-09-09 05:37:51.814000+00:00,2020-09-04 14:35:24.354000+00:00,IRVING,GA,PRIMARY,5103,9224,562632911,2026,377866,32008,13316,0,5,0,0,0
38125,19820415_5793,56634,41,43200,OWN,9.0,PERSONAL,4425,14.09,1,2020-09-02 19:09:09.315000+00:00,2020-08-30 11:55:30.053000+00:00,LODI,KS,PRIMARY,708,9094,12168353,726,592528,43921,27225,0,0,1,1,0
37774,19701006_2691,1611,41,186000,RENT,16.0,HOMEIMPROVEMENT,8800,11.58,0,2020-08-26 21:02:59.975000+00:00,2020-08-28 13:07:21.455000+00:00,WESTERVILLE,IA,PRIMARY,2858,10625,158201560,5563,303934,37808,12697,0,2,2,0,0
38346,19841005_9068,29832,38,94000,MORTGAGE,20.0,PERSONAL,16750,12.84,0,2020-08-27 16:00:56.400000+00:00,2020-09-03 22:41:00.255000+00:00,SAINT LOUIS,HI,PRIMARY,6660,37726,33832756,433,1155549,36912,28921,6,0,0,0,0
38296,19730610_2567,72959,64,110000,OWN,26.0,PERSONAL,10200,14.42,1,2020-09-03 03:24:42.597000+00:00,2020-09-04 14:35:24.354000+00:00,AUSTINVILLE,CO,PRIMARY,14824,1276,54572310,1944,1842998,39050,16390,1,2,1,0,0
38065,19690121_2465,12173,66,48000,OWN,29.0,PERSONAL,11400,13.11,1,2020-09-04 04:29:43.676000+00:00,2020-09-02 15:28:54.523000+00:00,SALEM,NM,PRIMARY,11740,14156,32235395,4875,80117,28081,5437,4,0,2,0,0
38434,19581202_5735,30733,43,53550,MORTGAGE,11.0,VENTURE,5000,13.92,0,2020-09-01 20:49:19.330000+00:00,2020-08-27 16:19:17.633000+00:00,MARION,WV,PRIMARY,372,4345,204732137,7897,905961,7731,26357,3,1,1,0,0
38119,20010103_7984,57552,40,88400,MORTGAGE,1.0,DEBTCONSOLIDATION,17625,12.42,0,2020-08-27 11:07:16.678000+00:00,2020-08-29 22:27:55.816000+00:00,NORWOOD,HI,PRIMARY,253,5854,71995542,7583,377866,24900,1348,0,0,3,0,0
38311,19790319_5508,29108,43,381450,MORTGAGE,9.0,HOMEIMPROVEMENT,12500,15.57,0,2020-09-02 19:27:30.548000+00:00,2020-09-13 02:37:26.546000+00:00,EUREKA,FL,PRIMARY,497,18408,198761276,943,483038,47655,17199,2,2,0,0,0
38063,19890506_4257,12015,62,123600,RENT,2.0,HOMEIMPROVEMENT,12600,9.25,1,2020-09-02 20:59:16.711000+00:00,2020-09-05 23:00:55.018000+00:00,HAZEL,AR,PRIMARY,267,1044,44057270,1919,1105301,4466,21265,0,7,0,0,1
38486,19660415_4412,98244,42,18720,MORTGAGE,5.0,PERSONAL,11375,15.33,0,2020-08-31 15:45:42.226000+00:00,2020-09-04 11:13:30.795000+00:00,MECHANICSVILLE,MI,PRIMARY,12902,3499,41742229,5538,488392,29390,19389,3,0,2,0,0
37997,19760120_6918,23541,53,59475,MORTGAGE,18.0,EDUCATION,35000,12.42,0,2020-08-31 14:32:17.296000+00:00,2020-09-03 16:15:34.369000+00:00,LAKE CORMORANT,TX,PRIMARY,11982,4808,700284661,6288,532944,8495,17194,1,7,0,0,0
38210,19620524_4462,38482,41,153000,OWN,8.0,EDUCATION,17850,12.53,0,2020-08-30 20:29:24.568000+00:00,2020-09-03 00:02:49.038000+00:00,TILTON,AR,PRIMARY,3977,2833,14185694,2741,1035906,17279,7383,9,3,0,0,2
38082,19521021_5466,27526,53,74568,MORTGAGE,18.0,VENTURE,9975,6.54,1,2020-09-01 12:52:07.281000+00:00,2020-09-05 16:53:50.364000+00:00,NEWBERRY,OH,PRIMARY,452,527,276106055,2150,1470514,28008,18858,3,3,1,0,0
38138,19850927_3671,37602,64,170000,RENT,1.0,HOMEIMPROVEMENT,17000,14.17,0,2020-09-05 14:08:39.270000+00:00,2020-08-29 15:25:47.464000+00:00,ATHENS,VT,PRIMARY,1290,5905,349364639,8152,1294074,28407,10405,8,7,0,0,0
38553,19770524_7444,32407,61,114996,MORTGAGE,2.0,HOMEIMPROVEMENT,9500,13.16,1,2020-08-30 14:22:19.915000+00:00,2020-09-01 09:11:52.489000+00:00,SOUTHAVEN,MN,PRIMARY,830,547,265253909,1221,1694662,8996,24372,0,0,0,0,1
38616,19740511_1621,38175,50,108000,MORTGAGE,5.0,DEBTCONSOLIDATION,19750,14.84,0,2020-09-04 19:10:42.844000+00:00,2020-08-26 13:05:47.925000+00:00,CHICKASHA,NC,PRIMARY,5249,5265,27749155,8217,659005,7098,25180,1,1,3,0,0
38077,19691126_4755,69152,64,25000,RENT,6.0,DEBTCONSOLIDATION,30000,10.59,0,2020-08-31 22:47:50.578000+00:00,2020-08-31 06:35:05.246000+00:00,HENRICO,OH,PRIMARY,12065,11560,28839833,8685,1761425,14847,13491,7,7,0,1,0
38305,19490121_5205,93437,67,60900,MORTGAGE,1.0,PERSONAL,10200,16.15,1,2020-09-12 22:20:29.289000+00:00,2020-08-28 08:32:02.965000+00:00,NORWOOD,TX,PRIMARY,1339,4643,23037440,1575,84632,10257,12871,1,3,3,0,0
37895,19670302_8138,53556,42,20640,RENT,29.0,MEDICAL,8775,8.9,0,2020-08-26 02:23:24.782000+00:00,2020-08-31 08:06:51.410000+00:00,JOHNSON CITY,NY,PRIMARY,1207,606,77486374,5005,1342615,24565,24858,1,7,0,0,0
37803,19580413_7378,20707,76,214200,RENT,29.0,PERSONAL,8000,7.9,0,2020-08-28 07:18:38.034000+00:00,2020-08-27 19:59:32.425000+00:00,YORK,MA,PRIMARY,4806,3385,784897976,254,1926423,28790,21303,2,1,0,0,0
38317,19541028_8159,77316,78,185000,OWN,5.0,EDUCATION,13000,14.27,0,2020-09-01 03:41:30.301000+00:00,2020-08-26 21:58:03.673000+00:00,PRINCESS ANNE,CO,PRIMARY,1361,4416,16848829,376,1227469,37511,8824,4,1,0,0,2
38226,19690520_7721,28774,54,499800,RENT,25.0,VENTURE,12350,19.47,0,2020-09-02 23:44:27.805000+00:00,2020-08-30 15:35:44.845000+00:00,MANCHESTER,WV,PRIMARY,12706,34997,39063045,7005,1757889,21400,23971,6,1,0,0,0
38340,19581015_5586,91784,43,68375,OTHER,12.0,MEDICAL,15775,10.51,0,2020-09-03 11:58:37.112000+00:00,2020-08-28 21:22:54.737000+00:00,MARLBOROUGH,SC,PRIMARY,836,814,15690831,9769,1319281,46283,24716,6,3,0,1,0
37945,19601225_1203,57105,62,142500,OWN,25.0,MEDICAL,17850,15.2,0,2020-09-03 18:24:02.998000+00:00,2020-08-26 05:45:18.341000+00:00,CHESTERFIELD,CA,PRIMARY,3158,4238,29158961,484,867723,36912,26881,1,1,0,0,0
37816,19620508_1192,96056,59,24000,MORTGAGE,1.0,PERSONAL,1375,12.87,1,2020-08-31 15:27:20.994000+00:00,2020-09-05 16:17:07.899000+00:00,EAGLE GROVE,CO,PRIMARY,2678,35122,164888460,544,906616,3815,23960,0,6,0,0,1
38381,19540130_7485,89137,70,136173,RENT,9.0,PERSONAL,4500,15.65,0,2020-09-04 01:44:32.582000+00:00,2020-08-30 16:30:48.543000+00:00,CHAFFEE,ND,PRIMARY,21300,7731,10153044,4018,990287,41501,18525,3,0,0,0,0
38415,19880130_9623,51040,49,64600,RENT,25.0,DEBTCONSOLIDATION,6500,13.72,0,2020-09-04 23:09:18.869000+00:00,2020-09-04 20:24:07.775000+00:00,WEST CORNWALL,UT,PRIMARY,1461,28166,30399314,506,1666992,28081,8409,0,0,0,1,0
38251,19651114_7666,32457,49,44531,MORTGAGE,16.0,VENTURE,4800,16.02,0,2020-09-12 02:45:50.398000+00:00,2020-09-02 09:40:11.102000+00:00,STEWARTSVILLE,IA,PRIMARY,2468,1555,19310569,7554,1222039,28524,223,3,6,1,0,0
38477,19940627_4102,27562,69,65000,MORTGAGE,14.0,HOMEIMPROVEMENT,7125,12.73,0,2020-08-27 09:35:30.514000+00:00,2020-09-11 15:08:23.556000+00:00,STATEN ISLAND,CO,PRIMARY,2984,4884,12904776,3471,1711503,16599,12114,1,5,2,0,1
38516,19991024_1605,46214,45,132000,MORTGAGE,24.0,MEDICAL,6625,14.22,1,2020-09-02 06:55:00.008000+00:00,2020-08-29 07:10:14.182000+00:00,GOULDSBORO,NY,PRIMARY,535,2833,27246573,5088,1696449,6916,29080,7,7,0,1,0
37742,19970927_4807,18044,54,205000,RENT,0.0,MEDICAL,22250,13.57,0,2020-09-06 13:05:11.720000+00:00,2020-08-27 03:28:25.861000+00:00,WEST FARMINGTON,SC,PRIMARY,6567,991,427833273,4727,1045222,19700,16412,0,0,0,0,1
37860,19560121_5500,50595,38,205000,MORTGAGE,5.0,EDUCATION,13750,12.92,0,2020-08-28 06:23:34.336000+00:00,2020-08-26 11:34:01.762000+00:00,DEL MAR,MT,PRIMARY,4994,35350,8395608,5882,1180237,15337,25758,1,1,0,0,0
37983,19791223_5555,35212,70,98240,RENT,17.0,MEDICAL,12500,18.78,0,2020-09-05 02:31:12.429000+00:00,2020-08-27 12:20:41.608000+00:00,HUNTINGTON,IN,PRIMARY,723,407,833803163,4872,74753,18797,13716,4,3,0,1,0
38505,19540320_6077,43840,60,90750,OTHER,41.0,MEDICAL,6625,6.62,0,2020-09-05 07:24:52.151000+00:00,2020-09-06 17:22:08.978000+00:00,OKAWVILLE,TX,PRIMARY,12085,22685,9547507,5362,1548818,18247,17508,1,1,0,0,0
38490,19931021_7595,45246,60,19200,OWN,23.0,MEDICAL,2000,13.06,0,2020-09-05 08:19:55.849000+00:00,2020-09-05 20:15:43.923000+00:00,GAINESVILLE,CO,PRIMARY,1207,3210,55592021,817,629902,23982,28279,1,3,0,0,0
38290,19710704_3562,85648,38,22500,MORTGAGE,6.0,DEBTCONSOLIDATION,12000,14.42,0,2020-09-06 14:18:36.651000+00:00,2020-09-11 16:21:48.487000+00:00,OCEANPORT,NV,PRIMARY,945,505,27285515,243,8581,18521,28222,7,1,3,1,1
38152,19920328_8880,17090,51,155000,MORTGAGE,2.0,VENTURE,19000,11.48,0,2020-08-27 18:46:07.494000+00:00,2020-08-28 10:58:52.826000+00:00,CHESTERFIELD,HI,PRIMARY,528,9039,64091099,5069,1380598,49348,21382,1,5,3,1,0
38322,19500910_5396,38122,70,91800,MORTGAGE,31.0,PERSONAL,6125,12.53,0,2020-08-29 04:43:24.321000+00:00,2020-08-31 15:45:42.226000+00:00,TROUTMAN,LA,PRIMARY,264,25687,13054354,8616,1648394,5978,2219,6,7,0,1,2
38591,19650817_4268,58324,54,74000,MORTGAGE,21.0,PERSONAL,12600,11.09,0,2020-08-28 00:34:50.915000+00:00,2020-09-10 17:25:16.036000+00:00,OLATHE,VT,PRIMARY,562,41874,32131430,4028,818683,12258,2654,0,1,0,1,0
38196,19691004_9711,95543,50,50000,MORTGAGE,19.0,EDUCATION,7200,15.31,0,2020-09-03 15:38:51.904000+00:00,2020-09-05 11:41:49.409000+00:00,FOX LAKE,HI,PRIMARY,2976,3385,8168390,6865,375947,34411,13483,1,1,0,1,0
38011,19680323_8900,29127,59,550000,MORTGAGE,9.0,PERSONAL,1250,16.4,1,2020-09-04 18:15:39.146000+00:00,2020-09-03 04:01:25.063000+00:00,JASPER,SD,PRIMARY,386,8171,8730231,1231,691810,16549,29268,0,3,0,1,0
